gene symbol,gene mim,disease name,disease mim,DDD category,allelic requirement,mutation consequence,phenotypes,organ specificity list,pmids,panel,prev symbols,hgnc id,gene disease pair entry date
ACTC1,102540,"CARDIOMYOPATHY, HYPERTROPHIC, 11",612098,confirmed,monoallelic,all missense/in frame,HP:0100578;HP:0003198;HP:0030682;HP:0001631;HP:0000006;HP:0000407;HP:0000982;HP:0001639;HP:0001644;HP:0011675;HP:0001874;HP:0003236;HP:0004308;HP:0001635;HP:0001712;HP:0001723;HP:0003457,Heart/Cardiovasculature/Lymphatic,21570694;16945537;15520409,Cardiac,"ACTC;ASD5, CMD1R, CMH11, LVNC4",143 ,2020-05-07T10:45:19Z
CALR3,611414,"CARDIOMYOPATHY, HYPERTROPHIC, 1",613875,possible,monoallelic,all missense/in frame,NA,Heart/Cardiovasculature/Lymphatic,17655857;26656175,Cardiac,NA,20407 ,2020-05-07T10:45:19Z
CSRP3,600824,"CARDIOMYOPATHY, HYPERTROPHIC, 12",612124,probable,monoallelic,loss of function,HP:0000407;HP:0000006;HP:0001638;HP:0003236;HP:0000982;HP:0006670;HP:0004756;HP:0004757;HP:0001644;HP:0003457;HP:0001645;HP:0003198;HP:0001706;HP:0001874;HP:0100578,Heart/Cardiovasculature/Lymphatic,21425739;22429680;25351510;12642359;16352453;19035361;24934443;20044516;15582318;24934443,Cardiac,"CLP;CMD1M, CMH12, CRP3, LMO4, MLP",2472 ,2020-05-07T10:45:19Z
JPH2,605267,"CARDIOMYOPATHY, HYPERTROPHIC, 17",613873,probable,monoallelic,all missense/in frame,HP:0001638;HP:0001962;HP:0002094;HP:0004756;HP:0001712;HP:0001685;HP:0000006,Heart/Cardiovasculature/Lymphatic,23973696;17509612;28393127;26869393;17476457;15541368;21216834;17509612;21339484,Cardiac,"CMH17;JP-2, JP2",14202 ,2020-05-07T10:45:19Z
KLF10,601878,"CARDIOMYOPATHY, HYPERTROPHIC",No disease mim,possible,monoallelic,all missense/in frame,NA,Heart/Cardiovasculature/Lymphatic,22234868;28082330;26252173;8532536;20201061,Cardiac,NA,11810 ,2020-05-07T10:45:19Z
LOX,153455,"AORTIC ANEURYSM FAMILIAL THORACIC, 10",617168,confirmed,monoallelic,loss of function,HP:0005162;HP:0000545;HP:0000767;HP:0001297;HP:0000006;HP:0002705;HP:0001659;HP:0011106;HP:0001519;HP:0000766;HP:0001382;HP:0002650;HP:0000978;HP:0001643;HP:0000316;HP:0100775;HP:0001166;HP:0000098;HP:0012163;HP:0002647;HP:0002875;HP:0001763;HP:0100749;HP:0000822;HP:0002326;HP:0001640;HP:0004950;HP:0004959;HP:0002140;HP:0000023;HP:0002107;HP:0001677;HP:0001653;HP:0002616;HP:0000218;HP:0002686;HP:0004944;HP:0004933;HP:0012763;HP:0000965;HP:0005113;HP:0000278;HP:0000525;HP:0003549;HP:0001647;HP:0002105;HP:0005112;HP:0000678;HP:0200146;HP:0002138;HP:0012499,Heart/Cardiovasculature/Lymphatic,26838787;27432961;27432961;1975633,Cardiac,AAT10,6664 ,2020-05-07T10:45:19Z
LZTR1 (AR),600574,NOONAN SYNDROME 2 ,605275,possible,biallelic,loss of function,HP:0000508;HP:0000347;HP:0000535;HP:0000179;HP:0008872;HP:0030680;HP:0000325;HP:0001680;HP:0002974;HP:0000391;HP:0000028;HP:0000078;HP:0000639;HP:0011381;HP:0000494;HP:0000218;HP:0011800;HP:0001004;HP:0000520;HP:0100763;HP:0002208;HP:0000474;HP:0001928;HP:0002212;HP:0005692;HP:0000044;HP:0000407;HP:0007477;HP:0100008;HP:0000006;HP:0000767;HP:0010302;HP:0002650;HP:0004415;HP:0001743;HP:0001671;HP:0011362;HP:0001156;HP:0002167;HP:0004209;HP:0000316;HP:0004322;HP:0000768;HP:0002240;HP:0001641;HP:0001252;HP:0000348;HP:0000766;HP:0001892;HP:0001260;HP:0001324;HP:0006610;HP:0100625;HP:0011869;HP:0001642;HP:0003828;HP:0000465;HP:0000368;HP:0000476;HP:0002162;HP:0010318;HP:0001718;HP:0000470;HP:0000486;HP:0002750;HP:0011675;HP:0000995;HP:0003829,Heart/Cardiovasculature/Lymphatic,29469822,Cardiac,"BTBD29, LZTR-1, NS10, NS2, SWNTS2",6742 ,2020-05-07T10:45:19Z
LZTR1 ,600574,NOONAN SYNDROME 10,616564,confirmed,monoallelic,all missense/in frame,HP:0000508;HP:0000347;HP:0000535;HP:0000179;HP:0008872;HP:0030680;HP:0000325;HP:0001680;HP:0002974;HP:0000391;HP:0000028;HP:0000078;HP:0000639;HP:0011381;HP:0000494;HP:0000218;HP:0011800;HP:0001004;HP:0000520;HP:0100763;HP:0002208;HP:0000474;HP:0001928;HP:0002212;HP:0005692;HP:0000044;HP:0000407;HP:0007477;HP:0100008;HP:0000006;HP:0000767;HP:0010302;HP:0002650;HP:0004415;HP:0001743;HP:0001671;HP:0011362;HP:0001156;HP:0002167;HP:0004209;HP:0000316;HP:0004322;HP:0000768;HP:0002240;HP:0001641;HP:0001252;HP:0000348;HP:0000766;HP:0001892;HP:0001260;HP:0001324;HP:0006610;HP:0100625;HP:0011869;HP:0001642;HP:0003828;HP:0000465;HP:0000368;HP:0000476;HP:0002162;HP:0010318;HP:0001718;HP:0000470;HP:0000486;HP:0002750;HP:0011675;HP:0000995;HP:0003829,Heart/Cardiovasculature/Lymphatic,25049390;25795793,Cardiac,"BTBD29, LZTR-1, NS10, NS2, SWNTS2",6742 ,2020-05-07T10:45:19Z
MYBPC3,600958,"CARDIOMYOPATHY, HYPERTROPHIC, 4",115197,probable,monoallelic,loss of function,HP:0003198;HP:0001639;HP:0030682;HP:0000982;HP:0000407;HP:0001644;HP:0001874;HP:0003236;HP:0000006;HP:0003457;HP:0100578,Heart/Cardiovasculature/Lymphatic,18533079;9562578;7493025;27532257;26358504;9440712;24464755;11230104;15249187;11909824,Cardiac,"CMD1MM, CMH4, FHC, LVNC10, MYBP-C, cMyBP-C",7551 ,2020-05-07T10:45:19Z
MYH6,613251,"CARDIOMYOPATHY, HYPERTROPHIC, 14",613251,possible,monoallelic,all missense/in frame,HP:0001682;HP:0001639;HP:0000006;HP:0011675;HP:0001644;HP:0001684;HP:0001874;HP:0001939;HP:0000982;HP:0001699;HP:0003457;HP:0000407;HP:0003198;HP:0001635;HP:0001670;HP:0003236;HP:0100578,Heart/Cardiovasculature/Lymphatic,11815426;27483260;10388558;6234108;24309898,Cardiac,"ASD3, CMD1EE, CMH14, MYHC, MYHCA, SSS3, alpha-MHC",7576 ,2020-05-07T10:45:19Z
