gene_symbol,disease,disease_subtype,syndrome,ClinGen_classification,G2P_classification,OMIM_inheritence,G2P_allelic_requirement,ClinGen_mutation_consequence,OMIM_gene_ID,OMIM_disease_name,OMIM_disease_ID,ORPHA_ID,MONDO_ID,G2P_organ_specificity_list,G2P_panel,prev_symbols,hgnc_id,gene_disease_pair_entry_date,share_status,IC_signed_by,ClinGen_pmids,HPO_phenotypes
ABCC9,HCM,no isolated LVH,Castu Syndrome,Definitive,Confirmed,AD,monoallelic,NA,601439,"HYPERTRICHOTIC OSTEOCHONDRODYSPLASIA, CANTU SYNDROME",239850,NA,MONDO_0009406,NA,Cardiac,"ABC37, ATFB12, CANTU, CMD1O, SUR2",HGNC:60,NA,NA,NA,22608503;22610116;8630239;8826984;21984445;26621776;,HP:0000159;HP:0010068;HP:0004755;HP:0004756;HP:0011715;HP:0010285;HP:0010109;HP:0008822;HP:0000343;HP:0001279;HP:0000347;HP:0000581;HP:0009928;HP:0000212;HP:0001698;HP:0001644;HP:0004757;HP:0000215;HP:0001520;HP:0002553;HP:0000154;HP:0001654;HP:0000926;HP:0000939;HP:0000158;HP:0001649;HP:0000470;HP:0009882;HP:0001249;HP:0011220;HP:0003236;HP:0010059;HP:0003016;HP:0000179;HP:0000431;HP:0004751;HP:0000340;HP:0000407;HP:0100578;HP:0004975;HP:0007665;HP:0012471;HP:0000944;HP:0005129;HP:0000527;HP:0000463;HP:0001869;HP:0000256;HP:0001639;HP:0000574;HP:0001537;HP:0003457;HP:0001072;HP:0001874;HP:0001155;HP:0005616;HP:0000774;HP:0000336;HP:0002690;HP:0001643;HP:0002750;HP:0001250;HP:0005692;HP:0001163;HP:0002673;HP:0004540;HP:0001182;HP:0002652;HP:0011704;HP:0003198;HP:0005280;HP:0000157;HP:0001647;HP:0000006;HP:0012251;HP:0000664;HP:0002230;HP:0000280;HP:0000414;HP:0004493;HP:0001640;HP:0000232;HP:0003300;HP:0100540;HP:0001004;HP:0000221;HP:0005445;HP:0011712;HP:0002162;HP:0011705;HP:0006101;HP:0003189;HP:0001663;HP:0010055;HP:0000286;HP:0004634;HP:0000885;HP:0000982;HP:0001176;HP:0001695;HP:0000294;HP:0006670;HP:0001256;HP:0000316;HP:0004308
ACTA2,HTAAD,NA,NA,Definitive,Confirmed,AD,monoallelic,Majority are missense variants,102620,"AORTIC ANEURYSM FAMILIAL THORACIC, 6",611788,Familial thoracic aneurysm and dissection (91387); rare disease with thoracic aortic aneurysm and aortic dissection (285014),MONDO_0012730,NA,Cardiac,ACTSA,HGNC:130,NA,NA,NA,17994018;20689142;19639654;19409525;27551047;26153420;11053242,HP:0001647;HP:0004944;HP:0002105;HP:0005181;HP:0011834;HP:0000965;HP:0000766;HP:0002705;HP:0002326;HP:0100775;HP:0002650;HP:0007866;HP:0003549;HP:0002875;HP:0012763;HP:0002617;HP:0001640;HP:0012499;HP:0002107;HP:0002616;HP:0005112;HP:0002686;HP:0001166;HP:0100749;HP:0012727;HP:0004942;HP:0100659;HP:0000525;HP:0002140;HP:0000098;HP:0030891;HP:0011499;HP:0001677;HP:0000822;HP:0000006;HP:0002138;HP:0000028;HP:0002789;HP:0004950;HP:0001009;HP:0002092;HP:0002566;HP:0001643;HP:0004933;HP:0001250;HP:0001297;HP:0000278;HP:0004970;HP:0001249;HP:0012163;HP:0000023;HP:0100770;HP:0002119;HP:0200146;HP:0000316;HP:0001659;HP:0001679;HP:0004959;HP:0011106;HP:0001763;HP:0002647;HP:0005162;HP:0000978
ACTC1,HCM,NA,NA,Definitive,Confirmed,AD,monoallelic,Missense,102540,"CARDIOMYOPATHY, HYPERTROPHIC, 11",612098,NA,MONDO_0012799,NA,Cardiac,"ACTC, ASD5, CMD1R, CMH11, LVNC4",HGNC:143,NA,NA,NA,21570694;16945537;15520409,HP:0100578;HP:0003198;HP:0030682;HP:0001631;HP:0000006;HP:0000407;HP:0000982;HP:0001639;HP:0001644;HP:0011675;HP:0001874;HP:0003236;HP:0004308;HP:0001635;HP:0001712;HP:0001723;HP:0003457
BAG3,HCM,no isolated LVH,Myofibrillar myopathy,Definitive,Confirmed,AD,monoallelic,NA,603883,"MYOPATHY, MYOFIBRILLAR, 6",612954,ORPHA:593  Myofibrillar myopathy,MONDO_0013061,NA,Cardiac,"BAG-3, BIS, CAIR-1, MFM6",HGNC:939,NA,NA,NA,19085932;20605452;25208129;25728519;26545904;27443559;22734908;16936253;20884878,HP:0001644;HP:0003457;HP:0003715;HP:0001635;HP:0006380;HP:0003560;HP:0003236;HP:0003678;HP:0002650;HP:0001639;HP:0032341;HP:0006597;HP:0000982;HP:0003700;HP:0001761;HP:0002936;HP:0001265;HP:0003447;HP:0010628;HP:0001874;HP:0000407;HP:0001611;HP:0003388;HP:0003458;HP:0003306;HP:0007108;HP:0002093;HP:0100578;HP:0000006;HP:0003198
BRAF,RAS,NA,CFC syndrome,Definitive,Confirmed,AD,monoallelic,NA,164757,CARDIOFACIOCUTANEOUS SYNDROME 1,115150,ORPHA:1340  Cardiofaciocutaneous syndrome,MONDO_0007265,NA,Cardiac,"B-RAF1, B-raf, BRAF1, NS7, RAFB1",HGNC:1097,NA,NA,NA,16474404;16439621;23875798;25639853;24409384;19376813;26472072,HP:0100697;HP:0000238;HP:0001004;HP:0005692;HP:0007370;HP:0001250;HP:0004415;HP:0007392;HP:0011800;HP:0000368;HP:0000176;HP:0002750;HP:0000280;HP:0000470;HP:0000494;HP:0000365;HP:0000508;HP:0001276;HP:0001513;HP:0009908;HP:0002162;HP:0003196;HP:0007477;HP:0001093;HP:0002360;HP:0001892;HP:0000028;HP:0001249;HP:0001658;HP:0006191;HP:0000179;HP:0002650;HP:0010576;HP:0000358;HP:0100703;HP:0000488;HP:0000982;HP:0000708;HP:0002514;HP:0001531;HP:0011710;HP:0001259;HP:0000529;HP:0008391;HP:0002217;HP:0004841;HP:0001639;HP:0000870;HP:0001633;HP:0000768;HP:0001085;HP:0002031;HP:0010807;HP:0000369;HP:0001054;HP:0001928;HP:0006114;HP:0031162;HP:0002659;HP:0001048;HP:0001608;HP:0011750;HP:0000478;HP:0001156;HP:0030680;HP:0001680;HP:0009466;HP:0008357;HP:0001627;HP:0000639;HP:0001382;HP:0003006;HP:0010669;HP:0430000;HP:0000486;HP:0003477;HP:0001744;HP:0000293;HP:0030521;HP:0002167;HP:0000194;HP:0005280;HP:0000914;HP:0001511;HP:0002797;HP:0008113;HP:0011470;HP:0000657;HP:0007924;HP:0008872;HP:0007440;HP:0000407;HP:0003691;HP:0000474;HP:0001003;HP:0030084;HP:0040075;HP:0001290;HP:0005978;HP:0001263;HP:0000006;HP:0002664;HP:0004209;HP:0000520;HP:0001629;HP:0032152;HP:0030939;HP:0000637;HP:0001047;HP:0001425;HP:0011220;HP:0012719;HP:0011362;HP:0002002;HP:0003298;HP:0000974;HP:0001262;HP:0002967;HP:0002705;HP:0001428;HP:0007987;HP:0002015;HP:0012059;HP:0000400;HP:0000135;HP:0009891;HP:0000248;HP:0000863;HP:0002974;HP:0002033;HP:0000268;HP:0000414;HP:0001634;HP:0002019;HP:0100763;HP:0001260;HP:0006695;HP:0001641;HP:0004306;HP:0007333;HP:0000348;HP:0000689;HP:0000276;HP:0001117;HP:0002516;HP:0012505;HP:0004422;HP:0001252;HP:0004414;HP:0002017;HP:0000316;HP:0000915;HP:0002212;HP:0000561;HP:0000044;HP:0011675;HP:0000545;HP:0002013;HP:0000126;HP:0000962;HP:0012286;HP:0000463;HP:0003577;HP:0008064;HP:0009748;HP:0000938;HP:0001636;HP:0100769;HP:0002240;HP:0002857;HP:0002321;HP:0000958;HP:0000925;HP:0002751;HP:0000343;HP:0012471;HP:0010318;HP:0000256;HP:0002020;HP:0002861;HP:0000341;HP:0100542;HP:0001631;HP:0002315;HP:0000995;HP:0011869;HP:0002617;HP:0100730;HP:0000325;HP:0002299;HP:0003508;HP:0000007;HP:0000912;HP:0001643;HP:0001508;HP:0001646;HP:0002223;HP:0000431;HP:0200036;HP:0001256;HP:0000823;HP:0000164;HP:0200102;HP:0001187;HP:0002208;HP:0000499;HP:0000047;HP:0008245;HP:0011734;HP:0001743;HP:0000504;HP:0011381;HP:0001654;HP:0002007;HP:0004482;HP:0100625;HP:0000648;HP:0100840;HP:0008625;HP:0002213;HP:0001520;HP:0011024;HP:0000767;HP:0007565;HP:0002863;HP:0000975;HP:0009719;HP:0002591;HP:0000078;HP:0000218;HP:0000476;HP:0002997;HP:0000465;HP:0001510;HP:0000286;HP:0000391;HP:0001319;HP:0004322;HP:0002719;HP:0008897;HP:0010535;HP:0000306;HP:0001622;HP:0002086;HP:0002637;HP:0000144;HP:0001642;HP:0030588;HP:0001482;HP:0001324;HP:0006519;HP:0100543;HP:0001480;HP:0200034;HP:0000917;HP:0000347;HP:0010939;HP:0000271;HP:0006610;HP:0000953;HP:0008070;HP:0003251;HP:0001561;HP:0004859;HP:0002120;HP:0002353;HP:0001582
CACNA1C,HCM,isolated LVH,Timothy syndrome,Definitive,Confirmed,AD,monoallelic,NA,114205,TIMOTHY SYNDROME,601005,ORPHA:65283  Timothy syndrome,MONDO_0010979,NA,Cardiac,"CACH2, CACN2, CACNL1A1, CCHL1A1, CaV1.2, LQT8, TS, TS. LQT8",HGNC:1390,NA,NA,NA,17224476;20817017;23575362;24321233;28401855;8392192,HP:0011712;HP:0002719;HP:0002090;HP:0001645;HP:0001662;HP:0004755;HP:0001629;HP:0001663;HP:0001643;HP:0004751;HP:0000821;HP:0001943;HP:0005280;HP:0001636;HP:0001279;HP:0001290;HP:0001655;HP:0005110;HP:0012251;HP:0001159;HP:0004308;HP:0000717;HP:0001249;HP:0000691;HP:0001263;HP:0001640;HP:0011704;HP:0012272;HP:0012232;HP:0000219;HP:0001649;HP:0011715;HP:0001250;HP:0001657;HP:0001695;HP:0000006;HP:0000311;HP:0001699;HP:0011705;HP:0002901;HP:0012725;HP:0012387
CALM1,LQTS,NA,NA,Definitive,Confirmed,AD,monoallelic,NA,114180,LONG QT SYNDROME 14,616247,Romano-Ward syndrome ORPHA:101016; Catecholaminergic polymorphic ventricular tachycardia ORPHA:3286,MONDO_0014548,NA,Cardiac,"CALML2, CAM2, CAM3, CAMB, CAMC, CAMI, CAMIII, CPVT4, DD132, LQT14, PHKD, caM",HGNC:1442,NA,NA,NA,16556865;23388215;24076290;24816216;26309258;26969752;27374306;28158429,HP:0001657;HP:0002321;HP:0001699;HP:0000006;HP:0004756;HP:0001695;HP:0005184;HP:0001279;HP:0001645;HP:0001663
CALM2,LQTS,NA,NA,Definitive,Confirmed,AD,monoallelic,NA,114182,LONG QT SYNDROME 15,616249,ORPHA:130  Brugada syndrome; ORPHA:101016  Romano-Ward syndrome; ORPHA:3286  Catecholaminergic polymorphic ventricular tachycardia,MONDO_0014550,NA,Cardiac,"CALM, CALML2, CAM1, CAM3, CAMC, CAMII, CAMIII, LQT15, PHKD, PHKD2, caM",HGNC:1445,NA,NA,NA,16556865;23388215;24917665;24958779;24816216;26309258;26969752;27374306;28575668;28335032;27765793,HP:0001657;HP:0004751;HP:0001649;HP:0001695;HP:0011712;HP:0012251;HP:0000006;HP:0001662;HP:0001645;HP:0004755;HP:0011704;HP:0011705;HP:0005184;HP:0011715;HP:0001663;HP:0004308;HP:0001279;HP:0002321;HP:0004756
CALM3,LQTS,NA,NA,Definitive,Confirmed,NA,NA,NA,114183,NA,NA,ORPHA:3286  Catecholaminergic polymorphic ventricular tachycardia,MONDO_0017990,NA,Cardiac,NA,HGNC:1449,NA,NA,NA,16556865;23388215;25460178;28491681;26969752,NA
CAV3,HCM,no isolated LVH,Caveolinopathy,Definitive,Confirmed,"AD,DD",NA,NA,601253,CAVEOLINOPATHY,192600,ORPHA:207078  Qualitative or quantitative defects of caveolin-3,MONDO_0016146,NA,Cardiac,"LGMD1C, LQT9, MPDT, RMD2, VIP-21, VIP21",HGNC:1529,NA,NA,NA,NA,HP:0001425;HP:0003738;HP:0000006;HP:0001688;HP:0002312;HP:0003707;HP:0011805;HP:0008075;HP:0008981;HP:0001695;HP:0009005;HP:0002936;HP:0030089;HP:0003581;HP:0040081;HP:0003458;HP:0003559;HP:0001657;HP:0008962;HP:0003760;HP:0003457;HP:0008967;HP:0009063;HP:0003124;HP:0000467;HP:0003719;HP:0001284;HP:0003557;HP:0008954;HP:0001962;HP:0001761;HP:0003710;HP:0003236;HP:0004308;HP:0003326;HP:0003712
